x,y,count
-1.0000000000000002e-06,0.0,0
-1.0000000000000002e-06,17.54385964912281,0
-1.0000000000000002e-06,35.08771929824562,0
-1.0000000000000002e-06,52.631578947368425,0
-1.0000000000000002e-06,70.17543859649123,0
-1.0000000000000002e-06,87.71929824561404,0
-1.0000000000000002e-06,105.26315789473685,0
-1.0000000000000002e-06,122.80701754385966,0
-1.0000000000000002e-06,140.35087719298247,0
-1.0000000000000002e-06,157.89473684210526,0
-1.0000000000000002e-06,175.43859649122808,0
-1.0000000000000002e-06,192.9824561403509,0
-1.0000000000000002e-06,210.5263157894737,0
-1.0000000000000002e-06,228.0701754385965,0
-1.0000000000000002e-06,245.61403508771932,0
-1.0000000000000002e-06,263.15789473684214,0
-1.0000000000000002e-06,280.70175438596493,0
-1.0000000000000002e-06,298.2456140350877,0
-1.0000000000000002e-06,315.7894736842105,0
-1.0000000000000002e-06,333.33333333333337,0
-1.0000000000000002e-06,350.87719298245617,0
-1.0000000000000002e-06,368.42105263157896,0
-1.0000000000000002e-06,385.9649122807018,0
-1.0000000000000002e-06,403.5087719298246,0
-1.0000000000000002e-06,421.0526315789474,0
-1.0000000000000002e-06,438.5964912280702,0
-1.0000000000000002e-06,456.140350877193,0
-1.0000000000000002e-06,473.68421052631584,0
-1.0000000000000002e-06,491.22807017543863,0
-1.0000000000000002e-06,508.7719298245614,0
-1.0000000000000002e-06,526.3157894736843,0
-1.0000000000000002e-06,543.859649122807,0
-1.0000000000000002e-06,561.4035087719299,0
-1.0000000000000002e-06,578.9473684210527,0
-1.0000000000000002e-06,596.4912280701755,0
-1.0000000000000002e-06,614.0350877192983,0
-1.0000000000000002e-06,631.578947368421,0
-1.0000000000000002e-06,649.1228070175439,0
-1.0000000000000002e-06,666.6666666666667,0
-1.0000000000000002e-06,684.2105263157895,0
-1.0000000000000002e-06,701.7543859649123,0
-1.0000000000000002e-06,719.2982456140352,0
-1.0000000000000002e-06,736.8421052631579,0
-1.0000000000000002e-06,754.3859649122808,0
-1.0000000000000002e-06,771.9298245614036,0
-1.0000000000000002e-06,789.4736842105264,0
-1.0000000000000002e-06,807.0175438596492,0
-1.0000000000000002e-06,824.561403508772,0
-1.0000000000000002e-06,842.1052631578948,0
-1.0000000000000002e-06,859.6491228070176,0
-1.0000000000000002e-06,877.1929824561404,0
-1.0000000000000002e-06,894.7368421052632,0
-1.0000000000000002e-06,912.280701754386,0
-1.0000000000000002e-06,929.8245614035088,0
-1.0000000000000002e-06,947.3684210526317,0
-1.0000000000000002e-06,964.9122807017544,0
-1.0000000000000002e-06,982.4561403508773,0
-1.0000000000000002e-06,1000.0000000000001,0
4.99999901,8.771929824561404,0
4.99999901,26.315789473684212,0
4.99999901,43.85964912280702,0
4.99999901,61.40350877192983,0
4.99999901,78.94736842105263,0
4.99999901,96.49122807017545,0
4.99999901,114.03508771929825,0
4.99999901,131.57894736842107,0
4.99999901,149.12280701754386,0
4.99999901,166.66666666666669,0
4.99999901,184.21052631578948,0
4.99999901,201.7543859649123,0
4.99999901,219.2982456140351,0
4.99999901,236.84210526315792,0
4.99999901,254.3859649122807,0
4.99999901,271.9298245614035,0
4.99999901,289.47368421052636,0
4.99999901,307.01754385964915,0
4.99999901,324.56140350877195,0
4.99999901,342.10526315789474,0
4.99999901,359.6491228070176,0
4.99999901,377.1929824561404,0
4.99999901,394.7368421052632,0
4.99999901,412.280701754386,0
4.99999901,429.8245614035088,0
4.99999901,447.3684210526316,0
4.99999901,464.9122807017544,0
4.99999901,482.4561403508772,0
4.99999901,500.00000000000006,0
4.99999901,517.5438596491229,0
4.99999901,535.0877192982457,0
4.99999901,552.6315789473684,0
4.99999901,570.1754385964913,0
4.99999901,587.719298245614,0
4.99999901,605.2631578947369,0
4.99999901,622.8070175438597,0
4.99999901,640.3508771929825,0
4.99999901,657.8947368421053,0
4.99999901,675.4385964912282,0
4.99999901,692.9824561403509,0
4.99999901,710.5263157894738,0
4.99999901,728.0701754385965,0
4.99999901,745.6140350877193,0
4.99999901,763.1578947368422,0
4.99999901,780.7017543859649,0
4.99999901,798.2456140350878,0
4.99999901,815.7894736842106,0
4.99999901,833.3333333333334,0
4.99999901,850.8771929824562,0
4.99999901,868.421052631579,0
4.99999901,885.9649122807018,0
4.99999901,903.5087719298247,0
4.99999901,921.0526315789474,0
4.99999901,938.5964912280702,0
4.99999901,956.1403508771931,0
4.99999901,973.6842105263158,0
4.99999901,991.2280701754387,0
9.99999902,0.0,0
9.99999902,17.54385964912281,0
9.99999902,35.08771929824562,0
9.99999902,52.631578947368425,0
9.99999902,70.17543859649123,0
9.99999902,87.71929824561404,0
9.99999902,105.26315789473685,0
9.99999902,122.80701754385966,0
9.99999902,140.35087719298247,0
9.99999902,157.89473684210526,0
9.99999902,175.43859649122808,0
9.99999902,192.9824561403509,0
9.99999902,210.5263157894737,0
9.99999902,228.0701754385965,0
9.99999902,245.61403508771932,0
9.99999902,263.15789473684214,0
9.99999902,280.70175438596493,0
9.99999902,298.2456140350877,0
9.99999902,315.7894736842105,0
9.99999902,333.33333333333337,0
9.99999902,350.87719298245617,0
9.99999902,368.42105263157896,0
9.99999902,385.9649122807018,0
9.99999902,403.5087719298246,0
9.99999902,421.0526315789474,0
9.99999902,438.5964912280702,0
